,,,,,,,,,,,,,,,
,,"Français","Anglais","ie","ouralique","finnois","hongrois","altaïque","turc","japonais","paleosiberien","étrusque","sémitique","kartvélien","dravidien"
,86,"entrailles, intestins",,"eter",,"suolisto","belek",,"bairsak",,,,,,
,87,"cou",,"mon",,"kaula","nyak",,"boyun",,,,,,
,88,"dos",,,,"selka","hat",,"arka,sirt,geri",,,,,,
,89,"poitrine",,,,"rinta","mell",,"göüs",,,,,,
,90,"c?ur (organe)",,"kerd",,"südan","ssiv",,"kalp",,,,,,
,91,"foie",,"iekwrt","muksa","maksa","maj",,"karadjier",,,,,,
,92,"boire",,"poi",,"yuoda","issik",,"itSmek",,,,,,
,93,"manger",,"ed",,"süöda","essik",,"yemek",,,,,,
,94,"mordre",,"denk",,"purra","harap",,"isirmak",,,,,,
,95,"sucer",,"dhei",,"imea","ssopik",,"emmek",,,,,,
,96,"cracher",,"spyeu",,"sülkea","köp",,"tükürmek",,,,,,
,97,"vomir",,"wem",,"oksentaa","hany",,"kusmak",,,,,,
,98,"souffler",,"wat",,"tuulla,puhaltaa","fuj",,"uflemek",,,,,,
,99,"respirer",,"pneu",,"hengittaa","lélegzik",,"nefes almak",,,,,,
,100,"rire",,"smei",,"nauraa","nevet",,"gülmek",,,,,,
,101,"voir",,"derk,weyd",,"nahda","lat",,"görmek",,,,,,
,102,"entendre",,"klew",,"kuulla","hall",,"itismek",,,,,,
,103,"savoir",,"gne",,"tietaa","tud",,"bilmek",,,,,,
,104,"penser",,"mene,tong",,"ayatella","gondol",,"duSunmek",,,,,,
,105,"sentir (odorat)",,"od",,"haistaa","ssagot erez",,"koklamak",,,,,,
,106,"craindre",,,,"pelata","fel",,"korkmak",,,,,,
,107,"dormir",,"drem",,"nukkua","alssik",,"uyumak",,,,,,
,108,"vivre",,"gweiw","ela","elaa","el",,"yaSamak",,,,,,
,109,"mourir",,"mer",,"kuolla","meghal",,"ölmek",,,,,,
,110,"tuer",,"gwhen",,"tappaa","megöl",,"öldürmel",,,,,,
,111,"se battre",,,,"taistella,tapella","verekedik",,"dövüSmek",,,,,,
,112,"chasser (le gibier)",,,,"metsastaa","vadassik",,"avlamak",,,,,,
,113,"frapper",,"plek",,"lüöda","tSap,üt",,"vurmak",,,,,,
,114,"couper",,,,"leikata","vag",,"kesmek",,,,,,
,115,"fendre",,,,"yakaa,haljeta,halkaista","hasit",,"yarmak",,,,,,
,116,"poignarder",,,,"pistaa","döf",,"bitSaklamak",,,,,,
,117,"gratter",,"gerbh",,"raapia","kapar,vakar",,"kaSimak",,,,,,
,118,"creuser",,,,"kaivaa","ast",,"kazmak",,,,,,
,119,"nager",,"neu",,"uida","ussik",,"yüzmek",,,,,,
,120,"voler (dans l'air)",,"pet,gwel",,"lentaa","repul",,"utSmak",,,,,,
,121,"marcher",,"ghredh",,"kaüda,kavella,kulkea","jar",,"yürümek",,,,,,
,122,"venir",,"gwem",,"tulla","jön",,"gelmek",,,,,,
,123,"s'étendre, être étendu",,"legh",,"maata","lefekssik",,"yayilmak",,,,,,
,124,"s'asseoir, être assis",,"sed",,"istua","leül",,"oturmak",,,,,,
,125,"se lever, se tenir debout",,"sta",,"seisoa","felall",,"kalkmak",,,,,,
,126,"tourner (intransitif)",,,,"kaantüa","forog",,"dönmek",,,,,,
,127,"tomber",,,,"pudota","esik",,"düSmek",,,,,,
,128,"donner",,"do",,"antaa","ad",,"vermek",,,,,,
,129,"tenir",,"segh",,"pitaa","fog",,"tutmak",,,,,,
,130,"serrer, presser",,,,"puristaa","ssorit",,"sikmak",,,,,,
